N, Approx, Actual
1, 0.000000, 0.000000
2, 14450.000000, 28900.000000
3, 15495.333333, 20834.666667
4, 8200101.098958, 10928433.687500
5, 8206740.466958, 8751046.160000
6, 8386949.360477, 7508789.138889
7, 11629386.098086, 10218947.836735
8, 11887686.879336, 9236780.250000
9, 11899738.039830, 8224028.888889
10, 12327731.383830, 7877174.160000
11, 12591921.845137, 7451676.925620
12, 12593348.291897, 6832259.972222
13, 13000325.808510, 6747593.822485
14, 14048729.779356, 7394673.265306
15, 14244247.807207, 7111178.648889
16, 14987534.264483, 7459568.871094
17, 16230235.418360, 8341140.678201
18, 17349381.941166, 9062722.645062
19, 17679924.035494, 8934642.786704
20, 17984277.827494, 8808283.060000
21, 18290300.038486, 8710164.331066
22, 18427479.974719, 8457960.084711
23, 18428919.460623, 8091727.606805
24, 18925695.856746, 8272947.659722
25, 20132705.706346, 9199331.680000
26, 20137684.997709, 8850689.693787
27, 20369997.127008, 8764133.582990
28, 20434577.716659, 8518101.275510
29, 20735520.419680, 8536064.302021
30, 20779836.615273, 8297373.165556
31, 20790749.876359, 8040993.003122
32, 20790761.194748, 7789723.655273
33, 21037395.054698, 7808012.591368
34, 21245275.496409, 7792545.011246
35, 21251191.982216, 7575991.368163
36, 21399909.334840, 7518513.583333
37, 22202329.314624, 8140019.937180
38, 22237470.438403, 7961899.770083
39, 22458251.530464, 7984339.614727
40, 23092831.713730, 8435582.594375
41, 23372711.558320, 8516713.518144
42, 23532827.839715, 8477956.181406
43, 23574850.192514, 8323817.294754
44, 23833539.792862, 8399345.266529
45, 23854540.753257, 8234171.404444
46, 24047328.254243, 8252239.345936
47, 24217075.078319, 8250096.757809
48, 24239452.501722, 8101073.280816
49, 24612994.420693, 8317069.296960
50, 24743113.789941, 8283502.777600
